date,day_of_week,day_type,holiday
4/16/95,Sunday,Non-Holiday Weekend,
4/17/95,Monday,Non-Holiday Weekday,
4/18/95,Tuesday,Non-Holiday Weekday,
4/19/95,Wednesday,Non-Holiday Weekday,
4/20/95,Thursday,Party Holiday,420
4/21/95,Friday,Non-Holiday Weekday,
4/22/95,Saturday,Non-Holiday Weekend,
4/23/95,Sunday,Non-Holiday Weekend,
4/24/95,Monday,Non-Holiday Weekday,
4/25/95,Tuesday,Non-Holiday Weekday,
4/26/95,Wednesday,Non-Holiday Weekday,
4/27/95,Thursday,Non-Holiday Weekday,
4/28/95,Friday,Non-Holiday Weekday,
4/29/95,Saturday,Non-Holiday Weekend,
4/30/95,Sunday,Non-Holiday Weekend,
5/1/95,Monday,Non-Holiday Weekday,
5/2/95,Tuesday,Non-Holiday Weekday,
5/3/95,Wednesday,Non-Holiday Weekday,
5/4/95,Thursday,Non-Holiday Weekday,
5/5/95,Friday,Party Holiday,Cinco de Mayo
5/6/95,Saturday,Non-Holiday Weekend,
5/7/95,Sunday,Non-Holiday Weekend,
5/8/95,Monday,Non-Holiday Weekday,
5/9/95,Tuesday,Non-Holiday Weekday,
5/10/95,Wednesday,Non-Holiday Weekday,
5/11/95,Thursday,Non-Holiday Weekday,
5/12/95,Friday,Non-Holiday Weekday,
5/13/95,Saturday,Non-Holiday Weekend,
5/14/95,Sunday,Non-Holiday Weekend,
5/15/95,Monday,Non-Holiday Weekday,
5/16/95,Tuesday,Non-Holiday Weekday,
5/17/95,Wednesday,Non-Holiday Weekday,
5/18/95,Thursday,Non-Holiday Weekday,
5/19/95,Friday,Non-Holiday Weekday,
5/20/95,Saturday,Non-Holiday Weekend,
5/21/95,Sunday,Non-Holiday Weekend,
5/22/95,Monday,Non-Holiday Weekday,
5/23/95,Tuesday,Non-Holiday Weekday,
5/24/95,Wednesday,Non-Holiday Weekday,
5/25/95,Thursday,Non-Holiday Weekday,
5/26/95,Friday,Non-Holiday Weekday,
5/27/95,Saturday,Non-Holiday Weekend,
5/28/95,Sunday,Non-Holiday Weekend,
5/29/95,Monday,National Holiday,Memorial Day
5/30/95,Tuesday,Non-Holiday Weekday,
5/31/95,Wednesday,Non-Holiday Weekday,
6/1/95,Thursday,Non-Holiday Weekday,
6/2/95,Friday,Non-Holiday Weekday,
6/3/95,Saturday,Non-Holiday Weekend,
6/4/95,Sunday,Non-Holiday Weekend,
6/5/95,Monday,Non-Holiday Weekday,
6/6/95,Tuesday,Non-Holiday Weekday,
6/7/95,Wednesday,Non-Holiday Weekday,
6/8/95,Thursday,Non-Holiday Weekday,
6/9/95,Friday,Non-Holiday Weekday,
6/10/95,Saturday,Non-Holiday Weekend,
6/11/95,Sunday,Non-Holiday Weekend,
6/12/95,Monday,Non-Holiday Weekday,
6/13/95,Tuesday,Non-Holiday Weekday,
6/14/95,Wednesday,Non-Holiday Weekday,
6/15/95,Thursday,Non-Holiday Weekday,
6/16/95,Friday,Non-Holiday Weekday,
6/17/95,Saturday,Non-Holiday Weekend,
6/18/95,Sunday,Non-Holiday Weekend,
6/19/95,Monday,Non-Holiday Weekday,
6/20/95,Tuesday,Non-Holiday Weekday,
6/21/95,Wednesday,Non-Holiday Weekday,
6/22/95,Thursday,Non-Holiday Weekday,
6/23/95,Friday,Non-Holiday Weekday,
6/24/95,Saturday,Non-Holiday Weekend,
6/25/95,Sunday,Non-Holiday Weekend,
6/26/95,Monday,Non-Holiday Weekday,
6/27/95,Tuesday,Non-Holiday Weekday,
6/28/95,Wednesday,Non-Holiday Weekday,
6/29/95,Thursday,Non-Holiday Weekday,
6/30/95,Friday,Non-Holiday Weekday,
7/1/95,Saturday,Non-Holiday Weekend,
7/2/95,Sunday,Non-Holiday Weekend,
7/3/95,Monday,Non-Holiday Weekday,
7/4/95,Tuesday,National Holiday,Independence Day
7/5/95,Wednesday,Non-Holiday Weekday,
7/6/95,Thursday,Non-Holiday Weekday,
7/7/95,Friday,Non-Holiday Weekday,
7/8/95,Saturday,Non-Holiday Weekend,
7/9/95,Sunday,Non-Holiday Weekend,
7/10/95,Monday,Non-Holiday Weekday,
7/11/95,Tuesday,Non-Holiday Weekday,
7/12/95,Wednesday,Non-Holiday Weekday,
7/13/95,Thursday,Non-Holiday Weekday,
7/14/95,Friday,Non-Holiday Weekday,
7/15/95,Saturday,Non-Holiday Weekend,
7/16/95,Sunday,Non-Holiday Weekend,
7/17/95,Monday,Non-Holiday Weekday,
7/18/95,Tuesday,Non-Holiday Weekday,
7/19/95,Wednesday,Non-Holiday Weekday,
7/20/95,Thursday,Non-Holiday Weekday,
7/21/95,Friday,Non-Holiday Weekday,
7/22/95,Saturday,Non-Holiday Weekend,
7/23/95,Sunday,Non-Holiday Weekend,
7/24/95,Monday,Non-Holiday Weekday,
7/25/95,Tuesday,Non-Holiday Weekday,
7/26/95,Wednesday,Non-Holiday Weekday,
7/27/95,Thursday,Non-Holiday Weekday,
7/28/95,Friday,Non-Holiday Weekday,
7/29/95,Saturday,Non-Holiday Weekend,
7/30/95,Sunday,Non-Holiday Weekend,
7/31/95,Monday,Non-Holiday Weekday,
8/1/95,Tuesday,Non-Holiday Weekday,
8/2/95,Wednesday,Non-Holiday Weekday,
8/3/95,Thursday,Non-Holiday Weekday,
8/4/95,Friday,Non-Holiday Weekday,
8/5/95,Saturday,Non-Holiday Weekend,
8/6/95,Sunday,Non-Holiday Weekend,
8/7/95,Monday,Non-Holiday Weekday,
8/8/95,Tuesday,Non-Holiday Weekday,
8/9/95,Wednesday,Non-Holiday Weekday,
8/10/95,Thursday,Non-Holiday Weekday,
8/11/95,Friday,Non-Holiday Weekday,
8/12/95,Saturday,Non-Holiday Weekend,
8/13/95,Sunday,Non-Holiday Weekend,
8/14/95,Monday,Non-Holiday Weekday,
8/15/95,Tuesday,Non-Holiday Weekday,
8/16/95,Wednesday,Non-Holiday Weekday,
8/17/95,Thursday,Non-Holiday Weekday,
8/18/95,Friday,Non-Holiday Weekday,
8/19/95,Saturday,Non-Holiday Weekend,
8/20/95,Sunday,Non-Holiday Weekend,
8/21/95,Monday,Non-Holiday Weekday,
8/22/95,Tuesday,Non-Holiday Weekday,
8/23/95,Wednesday,Non-Holiday Weekday,
8/24/95,Thursday,Non-Holiday Weekday,
8/25/95,Friday,Non-Holiday Weekday,
8/26/95,Saturday,Non-Holiday Weekend,
8/27/95,Sunday,Non-Holiday Weekend,
8/28/95,Monday,Non-Holiday Weekday,
8/29/95,Tuesday,Non-Holiday Weekday,
8/30/95,Wednesday,Non-Holiday Weekday,
8/31/95,Thursday,Non-Holiday Weekday,
9/1/95,Friday,Non-Holiday Weekday,
9/2/95,Saturday,Non-Holiday Weekend,
9/3/95,Sunday,Non-Holiday Weekend,
9/4/95,Monday,National Holiday,Labor Day
9/5/95,Tuesday,Non-Holiday Weekday,
9/6/95,Wednesday,Non-Holiday Weekday,
9/7/95,Thursday,Non-Holiday Weekday,
9/8/95,Friday,Non-Holiday Weekday,
9/9/95,Saturday,Non-Holiday Weekend,
9/10/95,Sunday,Non-Holiday Weekend,
9/11/95,Monday,Non-Holiday Weekday,
9/12/95,Tuesday,Non-Holiday Weekday,
9/13/95,Wednesday,Non-Holiday Weekday,
9/14/95,Thursday,Non-Holiday Weekday,
9/15/95,Friday,Non-Holiday Weekday,
9/16/95,Saturday,Non-Holiday Weekend,
9/17/95,Sunday,Non-Holiday Weekend,
9/18/95,Monday,Non-Holiday Weekday,
9/19/95,Tuesday,Non-Holiday Weekday,
9/20/95,Wednesday,Non-Holiday Weekday,
9/21/95,Thursday,Non-Holiday Weekday,
9/22/95,Friday,Non-Holiday Weekday,
9/23/95,Saturday,Non-Holiday Weekend,
9/24/95,Sunday,Non-Holiday Weekend,
9/25/95,Monday,Non-Holiday Weekday,
9/26/95,Tuesday,Non-Holiday Weekday,
9/27/95,Wednesday,Non-Holiday Weekday,
9/28/95,Thursday,Non-Holiday Weekday,
9/29/95,Friday,Non-Holiday Weekday,
9/30/95,Saturday,Non-Holiday Weekend,
10/1/95,Sunday,Non-Holiday Weekend,
10/2/95,Monday,Non-Holiday Weekday,
10/3/95,Tuesday,Non-Holiday Weekday,
10/4/95,Wednesday,Non-Holiday Weekday,
10/5/95,Thursday,Non-Holiday Weekday,
10/6/95,Friday,Non-Holiday Weekday,
10/7/95,Saturday,Non-Holiday Weekend,
10/8/95,Sunday,Non-Holiday Weekend,
10/9/95,Monday,National Holiday,Columbus Day
10/10/95,Tuesday,Non-Holiday Weekday,
10/11/95,Wednesday,Non-Holiday Weekday,
10/12/95,Thursday,Non-Holiday Weekday,
10/13/95,Friday,Non-Holiday Weekday,
10/14/95,Saturday,Non-Holiday Weekend,
10/15/95,Sunday,Non-Holiday Weekend,
10/16/95,Monday,Non-Holiday Weekday,
10/17/95,Tuesday,Non-Holiday Weekday,
10/18/95,Wednesday,Non-Holiday Weekday,
10/19/95,Thursday,Non-Holiday Weekday,
10/20/95,Friday,Non-Holiday Weekday,
10/21/95,Saturday,Non-Holiday Weekend,
10/22/95,Sunday,Non-Holiday Weekend,
10/23/95,Monday,Non-Holiday Weekday,
10/24/95,Tuesday,Non-Holiday Weekday,
10/25/95,Wednesday,Non-Holiday Weekday,
10/26/95,Thursday,Non-Holiday Weekday,
10/27/95,Friday,Non-Holiday Weekday,
10/28/95,Saturday,Non-Holiday Weekend,
10/29/95,Sunday,Non-Holiday Weekend,
10/30/95,Monday,Non-Holiday Weekday,
10/31/95,Tuesday,Party Holiday,Halloween
11/1/95,Wednesday,Non-Holiday Weekday,
11/2/95,Thursday,Non-Holiday Weekday,
11/3/95,Friday,Non-Holiday Weekday,
11/4/95,Saturday,Non-Holiday Weekend,
11/5/95,Sunday,Non-Holiday Weekend,
11/6/95,Monday,Non-Holiday Weekday,
11/7/95,Tuesday,Non-Holiday Weekday,
11/8/95,Wednesday,Non-Holiday Weekday,
11/9/95,Thursday,Non-Holiday Weekday,
11/10/95,Friday,National Holiday (Observed),
11/11/95,Saturday,National Holiday,Veterans Day
11/12/95,Sunday,Non-Holiday Weekend,
11/13/95,Monday,Non-Holiday Weekday,
11/14/95,Tuesday,Non-Holiday Weekday,
11/15/95,Wednesday,Non-Holiday Weekday,
11/16/95,Thursday,Non-Holiday Weekday,
11/17/95,Friday,Non-Holiday Weekday,
11/18/95,Saturday,Non-Holiday Weekend,
11/19/95,Sunday,Non-Holiday Weekend,
11/20/95,Monday,Non-Holiday Weekday,
11/21/95,Tuesday,Non-Holiday Weekday,
11/22/95,Wednesday,Party Holiday,Thanksgiving Eve
11/23/95,Thursday,National Holiday,Thanksgiving Day
11/24/95,Friday,Non-Holiday Weekday,
11/25/95,Saturday,Non-Holiday Weekend,
11/26/95,Sunday,Non-Holiday Weekend,
11/27/95,Monday,Non-Holiday Weekday,
11/28/95,Tuesday,Non-Holiday Weekday,
11/29/95,Wednesday,Non-Holiday Weekday,
11/30/95,Thursday,Non-Holiday Weekday,
12/1/95,Friday,Non-Holiday Weekday,
12/2/95,Saturday,Non-Holiday Weekend,
12/3/95,Sunday,Non-Holiday Weekend,
12/4/95,Monday,Non-Holiday Weekday,
12/5/95,Tuesday,Non-Holiday Weekday,
12/6/95,Wednesday,Non-Holiday Weekday,
12/7/95,Thursday,Non-Holiday Weekday,
12/8/95,Friday,Non-Holiday Weekday,
12/9/95,Saturday,Non-Holiday Weekend,
12/10/95,Sunday,Non-Holiday Weekend,
12/11/95,Monday,Non-Holiday Weekday,
12/12/95,Tuesday,Non-Holiday Weekday,
12/13/95,Wednesday,Non-Holiday Weekday,
12/14/95,Thursday,Non-Holiday Weekday,
12/15/95,Friday,Non-Holiday Weekday,
12/16/95,Saturday,Non-Holiday Weekend,
12/17/95,Sunday,Non-Holiday Weekend,
12/18/95,Monday,Non-Holiday Weekday,
12/19/95,Tuesday,Non-Holiday Weekday,
12/20/95,Wednesday,Non-Holiday Weekday,
12/21/95,Thursday,Non-Holiday Weekday,
12/22/95,Friday,Non-Holiday Weekday,
12/23/95,Saturday,Non-Holiday Weekend,
12/24/95,Sunday,Non-Holiday Weekend,
12/25/95,Monday,National Holiday,Christmas Day
12/26/95,Tuesday,Non-Holiday Weekday,
12/27/95,Wednesday,Non-Holiday Weekday,
12/28/95,Thursday,Non-Holiday Weekday,
12/29/95,Friday,Non-Holiday Weekday,
12/30/95,Saturday,Non-Holiday Weekend,
12/31/95,Sunday,Party Holiday,New Year's Eve
1/1/96,Monday,National Holiday,New Year's Day
1/2/96,Tuesday,Non-Holiday Weekday,
1/3/96,Wednesday,Non-Holiday Weekday,
1/4/96,Thursday,Non-Holiday Weekday,
1/5/96,Friday,Non-Holiday Weekday,
1/6/96,Saturday,Non-Holiday Weekend,
1/7/96,Sunday,Non-Holiday Weekend,
1/8/96,Monday,Non-Holiday Weekday,
1/9/96,Tuesday,Non-Holiday Weekday,
1/10/96,Wednesday,Non-Holiday Weekday,
1/11/96,Thursday,Non-Holiday Weekday,
1/12/96,Friday,Non-Holiday Weekday,
1/13/96,Saturday,Non-Holiday Weekend,
1/14/96,Sunday,Non-Holiday Weekend,
1/15/96,Monday,National Holiday,MLK Day
1/16/96,Tuesday,Non-Holiday Weekday,
1/17/96,Wednesday,Non-Holiday Weekday,
1/18/96,Thursday,Non-Holiday Weekday,
1/19/96,Friday,Non-Holiday Weekday,
1/20/96,Saturday,Non-Holiday Weekend,
1/21/96,Sunday,Non-Holiday Weekend,
1/22/96,Monday,Non-Holiday Weekday,
1/23/96,Tuesday,Non-Holiday Weekday,
1/24/96,Wednesday,Non-Holiday Weekday,
1/25/96,Thursday,Non-Holiday Weekday,
1/26/96,Friday,Non-Holiday Weekday,
1/27/96,Saturday,Non-Holiday Weekend,
1/28/96,Sunday,Non-Holiday Weekend,
1/29/96,Monday,Non-Holiday Weekday,
1/30/96,Tuesday,Non-Holiday Weekday,
1/31/96,Wednesday,Non-Holiday Weekday,
2/1/96,Thursday,Non-Holiday Weekday,
2/2/96,Friday,Non-Holiday Weekday,
2/3/96,Saturday,Non-Holiday Weekend,
2/4/96,Sunday,Party Holiday,Super Bowl Sunday
2/5/96,Monday,Non-Holiday Weekday,
2/6/96,Tuesday,Non-Holiday Weekday,
2/7/96,Wednesday,Non-Holiday Weekday,
2/8/96,Thursday,Non-Holiday Weekday,
2/9/96,Friday,Non-Holiday Weekday,
2/10/96,Saturday,Non-Holiday Weekend,
2/11/96,Sunday,Non-Holiday Weekend,
2/12/96,Monday,Non-Holiday Weekday,
2/13/96,Tuesday,Non-Holiday Weekday,
2/14/96,Wednesday,Non-Holiday Weekday,
2/15/96,Thursday,Non-Holiday Weekday,
2/16/96,Friday,Non-Holiday Weekday,
2/17/96,Saturday,Non-Holiday Weekend,
2/18/96,Sunday,Non-Holiday Weekend,
2/19/96,Monday,National Holiday,President's Day
2/20/96,Tuesday,Non-Holiday Weekday,
2/21/96,Wednesday,Non-Holiday Weekday,
2/22/96,Thursday,Non-Holiday Weekday,
2/23/96,Friday,Non-Holiday Weekday,
2/24/96,Saturday,Non-Holiday Weekend,
2/25/96,Sunday,Non-Holiday Weekend,
2/26/96,Monday,Non-Holiday Weekday,
2/27/96,Tuesday,Non-Holiday Weekday,
2/28/96,Wednesday,Non-Holiday Weekday,
2/29/96,Thursday,Non-Holiday Weekday,
3/1/96,Friday,Non-Holiday Weekday,
3/2/96,Saturday,Non-Holiday Weekend,
3/3/96,Sunday,Non-Holiday Weekend,
3/4/96,Monday,Non-Holiday Weekday,
3/5/96,Tuesday,Party Holiday,Mardi Gras
3/6/96,Wednesday,Non-Holiday Weekday,
3/7/96,Thursday,Non-Holiday Weekday,
3/8/96,Friday,Non-Holiday Weekday,
3/9/96,Saturday,Non-Holiday Weekend,
3/10/96,Sunday,Non-Holiday Weekend,
3/11/96,Monday,Non-Holiday Weekday,
3/12/96,Tuesday,Non-Holiday Weekday,
3/13/96,Wednesday,Non-Holiday Weekday,
3/14/96,Thursday,Non-Holiday Weekday,
3/15/96,Friday,Non-Holiday Weekday,
3/16/96,Saturday,Non-Holiday Weekend,
3/17/96,Sunday,Party Holiday,St. Patty's Day
3/18/96,Monday,Non-Holiday Weekday,
3/19/96,Tuesday,Non-Holiday Weekday,
3/20/96,Wednesday,Non-Holiday Weekday,
3/21/96,Thursday,Non-Holiday Weekday,
3/22/96,Friday,Non-Holiday Weekday,
3/23/96,Saturday,Non-Holiday Weekend,
3/24/96,Sunday,Non-Holiday Weekend,
3/25/96,Monday,Non-Holiday Weekday,
3/26/96,Tuesday,Non-Holiday Weekday,
3/27/96,Wednesday,Non-Holiday Weekday,
3/28/96,Thursday,Non-Holiday Weekday,
3/29/96,Friday,Non-Holiday Weekday,
3/30/96,Saturday,Non-Holiday Weekend,
3/31/96,Sunday,Non-Holiday Weekend,
4/1/96,Monday,Non-Holiday Weekday,
4/2/96,Tuesday,Non-Holiday Weekday,
4/3/96,Wednesday,Non-Holiday Weekday,
4/4/96,Thursday,Non-Holiday Weekday,
4/5/96,Friday,Non-Holiday Weekday,
4/6/96,Saturday,Non-Holiday Weekend,
4/7/96,Sunday,Non-Holiday Weekend,
4/8/96,Monday,Non-Holiday Weekday,
4/9/96,Tuesday,Non-Holiday Weekday,
4/10/96,Wednesday,Non-Holiday Weekday,
4/11/96,Thursday,Non-Holiday Weekday,
4/12/96,Friday,Non-Holiday Weekday,
4/13/96,Saturday,Non-Holiday Weekend,
4/14/96,Sunday,Non-Holiday Weekend,
4/15/96,Monday,Non-Holiday Weekday,
4/16/96,Tuesday,Non-Holiday Weekday,
4/17/96,Wednesday,Non-Holiday Weekday,
4/18/96,Thursday,Non-Holiday Weekday,
4/19/96,Friday,Non-Holiday Weekday,
4/20/96,Saturday,Party Holiday,420
4/21/96,Sunday,Non-Holiday Weekend,
4/22/96,Monday,Non-Holiday Weekday,
4/23/96,Tuesday,Non-Holiday Weekday,
4/24/96,Wednesday,Non-Holiday Weekday,
4/25/96,Thursday,Non-Holiday Weekday,
4/26/96,Friday,Non-Holiday Weekday,
4/27/96,Saturday,Non-Holiday Weekend,
4/28/96,Sunday,Non-Holiday Weekend,
4/29/96,Monday,Non-Holiday Weekday,
4/30/96,Tuesday,Non-Holiday Weekday,
5/1/96,Wednesday,Non-Holiday Weekday,
5/2/96,Thursday,Non-Holiday Weekday,
5/3/96,Friday,Non-Holiday Weekday,
5/4/96,Saturday,Non-Holiday Weekend,
5/5/96,Sunday,Party Holiday,Cinco de Mayo
5/6/96,Monday,Non-Holiday Weekday,
5/7/96,Tuesday,Non-Holiday Weekday,
5/8/96,Wednesday,Non-Holiday Weekday,
5/9/96,Thursday,Non-Holiday Weekday,
5/10/96,Friday,Non-Holiday Weekday,
5/11/96,Saturday,Non-Holiday Weekend,
5/12/96,Sunday,Non-Holiday Weekend,
5/13/96,Monday,Non-Holiday Weekday,
5/14/96,Tuesday,Non-Holiday Weekday,
5/15/96,Wednesday,Non-Holiday Weekday,
5/16/96,Thursday,Non-Holiday Weekday,
5/17/96,Friday,Non-Holiday Weekday,
5/18/96,Saturday,Non-Holiday Weekend,
5/19/96,Sunday,Non-Holiday Weekend,
5/20/96,Monday,Non-Holiday Weekday,
5/21/96,Tuesday,Non-Holiday Weekday,
5/22/96,Wednesday,Non-Holiday Weekday,
5/23/96,Thursday,Non-Holiday Weekday,
5/24/96,Friday,Non-Holiday Weekday,
5/25/96,Saturday,Non-Holiday Weekend,
5/26/96,Sunday,Non-Holiday Weekend,
5/27/96,Monday,National Holiday,Memorial Day
5/28/96,Tuesday,Non-Holiday Weekday,
5/29/96,Wednesday,Non-Holiday Weekday,
5/30/96,Thursday,Non-Holiday Weekday,
5/31/96,Friday,Non-Holiday Weekday,
6/1/96,Saturday,Non-Holiday Weekend,
6/2/96,Sunday,Non-Holiday Weekend,
6/3/96,Monday,Non-Holiday Weekday,
6/4/96,Tuesday,Non-Holiday Weekday,
6/5/96,Wednesday,Non-Holiday Weekday,
6/6/96,Thursday,Non-Holiday Weekday,
6/7/96,Friday,Non-Holiday Weekday,
6/8/96,Saturday,Non-Holiday Weekend,
6/9/96,Sunday,Non-Holiday Weekend,
6/10/96,Monday,Non-Holiday Weekday,
6/11/96,Tuesday,Non-Holiday Weekday,
6/12/96,Wednesday,Non-Holiday Weekday,
6/13/96,Thursday,Non-Holiday Weekday,
6/14/96,Friday,Non-Holiday Weekday,
6/15/96,Saturday,Non-Holiday Weekend,
6/16/96,Sunday,Non-Holiday Weekend,
6/17/96,Monday,Non-Holiday Weekday,
6/18/96,Tuesday,Non-Holiday Weekday,
6/19/96,Wednesday,Non-Holiday Weekday,
6/20/96,Thursday,Non-Holiday Weekday,
6/21/96,Friday,Non-Holiday Weekday,
6/22/96,Saturday,Non-Holiday Weekend,
6/23/96,Sunday,Non-Holiday Weekend,
6/24/96,Monday,Non-Holiday Weekday,
6/25/96,Tuesday,Non-Holiday Weekday,
6/26/96,Wednesday,Non-Holiday Weekday,
6/27/96,Thursday,Non-Holiday Weekday,
6/28/96,Friday,Non-Holiday Weekday,
6/29/96,Saturday,Non-Holiday Weekend,
6/30/96,Sunday,Non-Holiday Weekend,
7/1/96,Monday,Non-Holiday Weekday,
7/2/96,Tuesday,Non-Holiday Weekday,
7/3/96,Wednesday,Non-Holiday Weekday,
7/4/96,Thursday,National Holiday,Independence Day
7/5/96,Friday,Non-Holiday Weekday,
7/6/96,Saturday,Non-Holiday Weekend,
7/7/96,Sunday,Non-Holiday Weekend,
7/8/96,Monday,Non-Holiday Weekday,
7/9/96,Tuesday,Non-Holiday Weekday,
7/10/96,Wednesday,Non-Holiday Weekday,
7/11/96,Thursday,Non-Holiday Weekday,
7/12/96,Friday,Non-Holiday Weekday,
7/13/96,Saturday,Non-Holiday Weekend,
7/14/96,Sunday,Non-Holiday Weekend,
7/15/96,Monday,Non-Holiday Weekday,
7/16/96,Tuesday,Non-Holiday Weekday,
7/17/96,Wednesday,Non-Holiday Weekday,
7/18/96,Thursday,Non-Holiday Weekday,
7/19/96,Friday,Non-Holiday Weekday,
7/20/96,Saturday,Non-Holiday Weekend,
7/21/96,Sunday,Non-Holiday Weekend,
7/22/96,Monday,Non-Holiday Weekday,
7/23/96,Tuesday,Non-Holiday Weekday,
7/24/96,Wednesday,Non-Holiday Weekday,
7/25/96,Thursday,Non-Holiday Weekday,
7/26/96,Friday,Non-Holiday Weekday,
7/27/96,Saturday,Non-Holiday Weekend,
7/28/96,Sunday,Non-Holiday Weekend,
7/29/96,Monday,Non-Holiday Weekday,
7/30/96,Tuesday,Non-Holiday Weekday,
7/31/96,Wednesday,Non-Holiday Weekday,
8/1/96,Thursday,Non-Holiday Weekday,
8/2/96,Friday,Non-Holiday Weekday,
8/3/96,Saturday,Non-Holiday Weekend,
8/4/96,Sunday,Non-Holiday Weekend,
8/5/96,Monday,Non-Holiday Weekday,
8/6/96,Tuesday,Non-Holiday Weekday,
8/7/96,Wednesday,Non-Holiday Weekday,
8/8/96,Thursday,Non-Holiday Weekday,
8/9/96,Friday,Non-Holiday Weekday,
8/10/96,Saturday,Non-Holiday Weekend,
8/11/96,Sunday,Non-Holiday Weekend,
8/12/96,Monday,Non-Holiday Weekday,
8/13/96,Tuesday,Non-Holiday Weekday,
8/14/96,Wednesday,Non-Holiday Weekday,
8/15/96,Thursday,Non-Holiday Weekday,
8/16/96,Friday,Non-Holiday Weekday,
8/17/96,Saturday,Non-Holiday Weekend,
8/18/96,Sunday,Non-Holiday Weekend,
8/19/96,Monday,Non-Holiday Weekday,
8/20/96,Tuesday,Non-Holiday Weekday,
8/21/96,Wednesday,Non-Holiday Weekday,
8/22/96,Thursday,Non-Holiday Weekday,
8/23/96,Friday,Non-Holiday Weekday,
8/24/96,Saturday,Non-Holiday Weekend,
8/25/96,Sunday,Non-Holiday Weekend,
8/26/96,Monday,Non-Holiday Weekday,
8/27/96,Tuesday,Non-Holiday Weekday,
8/28/96,Wednesday,Non-Holiday Weekday,
8/29/96,Thursday,Non-Holiday Weekday,
8/30/96,Friday,Non-Holiday Weekday,
8/31/96,Saturday,Non-Holiday Weekend,
9/1/96,Sunday,Non-Holiday Weekend,
9/2/96,Monday,National Holiday,Labor Day
9/3/96,Tuesday,Non-Holiday Weekday,
9/4/96,Wednesday,Non-Holiday Weekday,
9/5/96,Thursday,Non-Holiday Weekday,
9/6/96,Friday,Non-Holiday Weekday,
9/7/96,Saturday,Non-Holiday Weekend,
9/8/96,Sunday,Non-Holiday Weekend,
9/9/96,Monday,Non-Holiday Weekday,
9/10/96,Tuesday,Non-Holiday Weekday,
9/11/96,Wednesday,Non-Holiday Weekday,
9/12/96,Thursday,Non-Holiday Weekday,
9/13/96,Friday,Non-Holiday Weekday,
9/14/96,Saturday,Non-Holiday Weekend,
9/15/96,Sunday,Non-Holiday Weekend,
9/16/96,Monday,Non-Holiday Weekday,
9/17/96,Tuesday,Non-Holiday Weekday,
9/18/96,Wednesday,Non-Holiday Weekday,
9/19/96,Thursday,Non-Holiday Weekday,
9/20/96,Friday,Non-Holiday Weekday,
9/21/96,Saturday,Non-Holiday Weekend,
9/22/96,Sunday,Non-Holiday Weekend,
9/23/96,Monday,Non-Holiday Weekday,
9/24/96,Tuesday,Non-Holiday Weekday,
9/25/96,Wednesday,Non-Holiday Weekday,
9/26/96,Thursday,Non-Holiday Weekday,
9/27/96,Friday,Non-Holiday Weekday,
9/28/96,Saturday,Non-Holiday Weekend,
9/29/96,Sunday,Non-Holiday Weekend,
9/30/96,Monday,Non-Holiday Weekday,
10/1/96,Tuesday,Non-Holiday Weekday,
10/2/96,Wednesday,Non-Holiday Weekday,
10/3/96,Thursday,Non-Holiday Weekday,
10/4/96,Friday,Non-Holiday Weekday,
10/5/96,Saturday,Non-Holiday Weekend,
10/6/96,Sunday,Non-Holiday Weekend,
10/7/96,Monday,Non-Holiday Weekday,
10/8/96,Tuesday,Non-Holiday Weekday,
10/9/96,Wednesday,Non-Holiday Weekday,
10/10/96,Thursday,Non-Holiday Weekday,
10/11/96,Friday,Non-Holiday Weekday,
10/12/96,Saturday,Non-Holiday Weekend,
10/13/96,Sunday,Non-Holiday Weekend,
10/14/96,Monday,National Holiday,Columbus Day
10/15/96,Tuesday,Non-Holiday Weekday,
10/16/96,Wednesday,Non-Holiday Weekday,
10/17/96,Thursday,Non-Holiday Weekday,
10/18/96,Friday,Non-Holiday Weekday,
10/19/96,Saturday,Non-Holiday Weekend,
10/20/96,Sunday,Non-Holiday Weekend,
10/21/96,Monday,Non-Holiday Weekday,
10/22/96,Tuesday,Non-Holiday Weekday,
10/23/96,Wednesday,Non-Holiday Weekday,
10/24/96,Thursday,Non-Holiday Weekday,
10/25/96,Friday,Non-Holiday Weekday,
10/26/96,Saturday,Non-Holiday Weekend,
10/27/96,Sunday,Non-Holiday Weekend,
10/28/96,Monday,Non-Holiday Weekday,
10/29/96,Tuesday,Non-Holiday Weekday,
10/30/96,Wednesday,Non-Holiday Weekday,
10/31/96,Thursday,Party Holiday,Halloween
11/1/96,Friday,Non-Holiday Weekday,
11/2/96,Saturday,Non-Holiday Weekend,
11/3/96,Sunday,Non-Holiday Weekend,
11/4/96,Monday,Non-Holiday Weekday,
11/5/96,Tuesday,Non-Holiday Weekday,
11/6/96,Wednesday,Non-Holiday Weekday,
11/7/96,Thursday,Non-Holiday Weekday,
11/8/96,Friday,Non-Holiday Weekday,
11/9/96,Saturday,Non-Holiday Weekend,
11/10/96,Sunday,Non-Holiday Weekend,
11/11/96,Monday,National Holiday,Veterans Day
11/12/96,Tuesday,Non-Holiday Weekday,
11/13/96,Wednesday,Non-Holiday Weekday,
11/14/96,Thursday,Non-Holiday Weekday,
11/15/96,Friday,Non-Holiday Weekday,
11/16/96,Saturday,Non-Holiday Weekend,
11/17/96,Sunday,Non-Holiday Weekend,
